Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Remote_Work_Ratio_%,Automation_Risk_%,Location,Gender_Diversity_%,Job_Growth_Rate_%
solicitor,it,increasing,low,74578.74,associate degree,16.0,64.69,18.52,uk,72.8,20.374828060522695
"scientist, clinical (histocompatibility and immunogenetics)",manufacturing,increasing,high,107223.43,master's degree,2.0,63.25,18.88,canada,25.95,313.6086662153013
garment/textile technologist,education,decreasing,low,90657.97,phd,2.0,15.11,20.13,uk,36.62,-53.15483375397784
commercial horticulturist,transportation,decreasing,high,64796.35,phd,11.0,74.87,93.99,uk,31.12,-96.59770114942529
investment analyst,it,increasing,low,49769.25,associate degree,1.0,16.07,53.34,uk,76.08,14.018043025676613
communications engineer,healthcare,increasing,low,104461.04,associate degree,5.0,27.45,19.09,usa,22.54,171.71093267449044
chief executive officer,it,increasing,low,72611.62,associate degree,19.0,64.77,79.71,china,26.98,-83.10175288584865
pension scheme manager,transportation,decreasing,moderate,143523.13,master's degree,19.0,60.8,31.59,usa,44.48,57.72436518705175
furniture designer,education,increasing,moderate,141306.96,bachelor's degree,7.0,14.95,17.62,india,79.88,11.431549687282835
financial trader,finance,increasing,low,48716.75,master's degree,18.0,95.09,37.39,canada,44.74,-69.1629358296025
"accountant, chartered",entertainment,increasing,high,142776.21,master's degree,9.0,64.01,67.69,india,35.89,-34.81930318112963
fast food restaurant manager,education,increasing,moderate,119061.85,bachelor's degree,2.0,32.06,46.08,brazil,32.74,-23.423423423423422
chartered loss adjuster,education,decreasing,high,81741.6,master's degree,12.0,86.34,33.94,uk,68.72,-19.897959183673468
media buyer,entertainment,decreasing,moderate,138092.45,high school,1.0,64.59,77.31,china,24.8,18.393913778529164
claims inspector/assessor,retail,decreasing,moderate,64869.92,bachelor's degree,5.0,30.85,6.37,canada,44.41,2331.7507418397627
"teacher, early years/pre",education,decreasing,low,96677.54,phd,13.0,77.43,43.29,usa,30.74,-84.97095837366892
magazine journalist,retail,decreasing,moderate,147809.79,master's degree,11.0,97.38,25.22,china,29.11,-81.16754232340922
licensed conveyancer,healthcare,decreasing,moderate,86766.58,bachelor's degree,13.0,37.09,24.66,germany,56.27,1.4042126379137412
magazine journalist,transportation,decreasing,high,102475.0,phd,1.0,95.12,64.37,india,34.99,-15.365188402868975
mudlogger,healthcare,decreasing,low,63139.43,master's degree,14.0,82.15,2.14,brazil,71.21,24.020711391265195
general practice doctor,entertainment,decreasing,low,52023.32,bachelor's degree,11.0,53.19,90.42,china,36.34,234.90259740259742
human resources officer,transportation,decreasing,moderate,79700.75,master's degree,20.0,35.84,33.54,china,31.91,-44.771307676808384
health and safety inspector,retail,increasing,high,144416.15,bachelor's degree,18.0,36.0,87.99,usa,59.96,-47.74045801526717
music therapist,healthcare,increasing,moderate,56288.16,high school,19.0,52.98,46.37,canada,58.64,280.16637478108584
"designer, industrial/product",education,decreasing,low,134284.66,phd,5.0,23.89,34.18,germany,46.87,-86.73839060270062
osteopath,it,decreasing,high,110956.26,associate degree,12.0,10.47,76.17,uk,67.3,204.66278101582014
barista,finance,increasing,high,61661.7,phd,20.0,61.8,16.15,australia,47.2,47.250936329588015
further education lecturer,finance,decreasing,high,107874.97,associate degree,1.0,55.19,89.9,usa,52.12,137.42442563482467
agricultural engineer,finance,decreasing,high,46802.28,associate degree,8.0,31.21,43.89,uk,72.61,-47.236118059029515
"buyer, industrial",it,increasing,moderate,37699.53,bachelor's degree,15.0,44.16,47.24,india,69.84,1.4416983523447402
"designer, textile",healthcare,decreasing,high,113246.91,phd,15.0,31.66,28.51,uk,71.57,-18.548387096774192
garment/textile technologist,manufacturing,increasing,high,67212.24,associate degree,19.0,80.26,15.77,germany,36.49,-12.648174490279754
"teacher, adult education",healthcare,increasing,low,95201.0,high school,16.0,66.38,13.57,australia,44.09,-52.695705147730735
personnel officer,retail,increasing,high,86369.99,associate degree,11.0,54.23,93.59,china,46.84,-22.429486459152713
"engineer, automotive",it,increasing,moderate,143384.05,phd,8.0,94.21,44.73,brazil,35.39,-93.85818908122504
"development worker, international aid",it,decreasing,low,34970.04,high school,2.0,52.86,34.78,usa,27.59,-21.075612353567625
"sales professional, it",entertainment,increasing,high,67917.76,master's degree,13.0,95.93,31.01,brazil,31.48,-54.43334692213616
tax inspector,finance,increasing,high,119335.69,phd,19.0,0.21,37.0,australia,50.01,-90.61203844208396
learning disability nurse,it,decreasing,moderate,92426.21,associate degree,16.0,87.14,30.47,brazil,65.44,-66.46183699870633
nutritional therapist,finance,increasing,low,41216.72,associate degree,19.0,34.79,17.88,canada,22.13,-89.2235706974704
sales promotion account executive,healthcare,decreasing,moderate,112072.77,associate degree,17.0,75.25,10.35,australia,37.58,27.103805610148296
tax adviser,retail,increasing,moderate,135450.4,high school,17.0,88.59,61.67,india,63.62,-82.03511931562359
"civil engineer, contracting",finance,decreasing,moderate,42059.52,master's degree,10.0,0.98,38.95,india,32.62,-7.523352688714971
trading standards officer,entertainment,increasing,moderate,136408.3,phd,16.0,26.89,57.79,india,57.21,135.17587939698493
hotel manager,transportation,decreasing,high,98813.15,phd,16.0,88.76,31.83,brazil,35.49,5.187530443253776
product manager,education,increasing,high,115254.2,bachelor's degree,9.0,54.23,73.28,canada,28.48,-54.83641536273115
it consultant,education,increasing,moderate,129853.68,master's degree,9.0,35.86,96.7,usa,45.63,623.2704402515723
adult guidance worker,transportation,decreasing,high,67161.49,master's degree,2.0,63.32,72.26,canada,23.74,113.57684355616814
"engineer, manufacturing",retail,decreasing,high,69952.77,phd,10.0,79.89,74.8,canada,79.46,13.353989155693261
sports development officer,healthcare,decreasing,moderate,73699.83,phd,0.0,97.93,87.12,china,49.51,195.76557226142987
minerals surveyor,finance,decreasing,high,103128.41,bachelor's degree,14.0,65.81,47.17,uk,25.25,1579.611650485437
airline pilot,finance,increasing,high,122386.02,high school,6.0,85.67,54.17,china,35.74,-16.428571428571427
arts administrator,it,increasing,low,37944.09,master's degree,9.0,77.12,71.09,usa,28.9,26.027397260273972
multimedia specialist,transportation,decreasing,high,30619.1,associate degree,16.0,0.36,36.39,china,70.95,-46.80798004987531
actor,entertainment,increasing,low,59817.94,phd,17.0,18.38,26.82,germany,31.15,-19.98047113389479
"engineer, energy",retail,decreasing,high,93864.0,associate degree,7.0,41.74,22.51,australia,41.36,-42.53045522547553
"designer, television/film set",retail,increasing,low,103778.47,bachelor's degree,11.0,29.47,46.22,china,36.89,-37.612662123543636
"engineer, electrical",it,decreasing,high,44683.91,bachelor's degree,7.0,52.33,99.98,australia,24.27,-62.302439024390246
clinical molecular geneticist,it,increasing,high,77490.07,phd,7.0,39.57,10.65,usa,28.1,-45.989140456920396
armed forces training and education officer,transportation,increasing,high,78419.58,bachelor's degree,6.0,18.53,88.82,china,46.24,-17.699825947248627
"social research officer, government",entertainment,decreasing,moderate,136326.45,high school,2.0,67.83,69.96,canada,29.01,413.15092674315974
radiation protection practitioner,retail,decreasing,low,128226.37,master's degree,19.0,75.7,48.76,uk,59.7,-73.97358086397715
investment analyst,retail,decreasing,high,118096.58,master's degree,3.0,43.52,10.51,china,22.54,274.2574257425743
"editor, magazine features",it,increasing,high,111553.54,associate degree,8.0,43.69,74.86,canada,38.99,122.39538239538238
"doctor, hospital",finance,increasing,high,31343.21,bachelor's degree,15.0,7.36,50.88,canada,34.96,-28.165137614678898
it sales professional,healthcare,increasing,low,147662.88,phd,8.0,4.21,51.09,uk,69.49,-45.754667229195235
"loss adjuster, chartered",finance,decreasing,high,56690.83,associate degree,9.0,23.83,98.57,india,38.53,-24.92020623618954
museum/gallery exhibitions officer,transportation,decreasing,moderate,82427.02,bachelor's degree,2.0,16.75,25.2,canada,44.37,-59.26945473795659
"scientist, biomedical",healthcare,decreasing,low,138170.1,bachelor's degree,4.0,24.69,55.85,usa,38.8,-84.7773071492748
"designer, interior/spatial",it,increasing,high,145060.32,phd,19.0,29.6,58.69,china,72.78,109.59128065395096
retail banker,manufacturing,increasing,moderate,38896.27,master's degree,3.0,47.51,32.48,australia,37.81,-90.68267066766693
research scientist (physical sciences),transportation,increasing,moderate,138577.62,high school,8.0,70.75,96.72,india,68.09,52.62321144674086
garment/textile technologist,retail,decreasing,moderate,102966.44,phd,13.0,49.85,85.54,australia,44.71,-10.67702552719201
architect,it,increasing,moderate,149005.78,phd,16.0,83.65,9.33,australia,75.54,-49.766597510373444
"development worker, international aid",transportation,increasing,high,72837.16,bachelor's degree,20.0,47.04,39.57,germany,36.63,7.365616674502428
engineering geologist,manufacturing,increasing,high,128313.93,associate degree,2.0,63.42,65.63,uk,46.61,17.77726001863933
hospital pharmacist,healthcare,increasing,low,67381.47,high school,7.0,51.19,39.08,china,38.92,-48.23560982154837
academic librarian,healthcare,increasing,high,59953.75,master's degree,17.0,70.91,38.37,brazil,28.48,-17.573449401523394
research scientist (life sciences),transportation,increasing,low,75010.08,high school,6.0,72.45,37.51,germany,67.77,-92.86232760706508
"engineer, site",it,increasing,high,139896.98,high school,8.0,60.91,81.66,usa,49.4,-41.984867147633295
television floor manager,education,decreasing,moderate,35488.42,associate degree,7.0,55.97,61.66,brazil,59.01,-76.6773162939297
training and development officer,education,increasing,moderate,89965.84,master's degree,17.0,66.47,88.0,brazil,54.46,12.891217427271473
historic buildings inspector/conservation officer,transportation,increasing,high,121656.68,associate degree,16.0,6.59,80.24,india,45.43,17.48425588332781
air cabin crew,education,increasing,moderate,135460.76,associate degree,2.0,58.71,29.39,germany,77.25,129.71506105834465
telecommunications researcher,transportation,increasing,moderate,113425.32,high school,7.0,54.81,31.08,germany,53.0,253.22847682119206
hydrologist,manufacturing,increasing,high,100097.03,high school,8.0,82.7,89.8,india,38.69,-35.98200899550225
clothing/textile technologist,transportation,decreasing,high,117200.54,bachelor's degree,8.0,84.82,55.32,uk,31.17,-11.821438412785891
proofreader,healthcare,increasing,high,120444.15,phd,15.0,99.91,93.27,india,34.29,48.67531518362872
"psychologist, occupational",manufacturing,decreasing,high,61735.26,master's degree,20.0,98.68,76.69,china,67.9,-23.67319604888666
structural engineer,manufacturing,decreasing,high,86887.71,associate degree,6.0,93.63,98.8,china,62.91,200.0
hydrographic surveyor,it,increasing,moderate,108916.46,master's degree,18.0,76.97,17.09,india,50.12,-92.59359739555073
nature conservation officer,entertainment,decreasing,high,45170.97,bachelor's degree,8.0,50.68,74.76,usa,69.4,31.759656652360512
waste management officer,education,decreasing,low,81789.45,associate degree,8.0,31.8,89.75,canada,65.96,-34.81736427223271
"research officer, government",manufacturing,increasing,high,145744.03,high school,11.0,70.91,15.77,uk,66.22,333.5336538461538
marketing executive,retail,increasing,moderate,111378.53,phd,17.0,14.42,17.23,usa,42.75,-96.48528477662502
"accountant, chartered certified",retail,increasing,moderate,118269.45,phd,13.0,80.98,8.84,india,50.87,-76.433532547246
"surveyor, building control",healthcare,increasing,low,123812.84,high school,1.0,69.74,45.92,australia,68.57,-85.081878711535
careers adviser,it,decreasing,high,74281.97,master's degree,0.0,62.72,98.15,canada,65.72,902.030456852792
research scientist (life sciences),transportation,increasing,high,98047.01,high school,15.0,77.85,23.86,germany,72.5,136.7624810892587
barrister,healthcare,decreasing,high,33468.06,master's degree,1.0,5.45,16.61,china,50.58,1618.0043383947939
"therapist, art",manufacturing,decreasing,moderate,123745.04,associate degree,15.0,7.34,56.73,usa,70.95,-64.96402877697842
"psychologist, prison and probation services",healthcare,increasing,low,96385.28,master's degree,4.0,46.43,39.6,germany,64.94,49.5781204538842
fast food restaurant manager,healthcare,increasing,high,72493.34,master's degree,19.0,27.86,20.89,canada,51.91,122.60638297872339
insurance account manager,entertainment,decreasing,low,52735.83,master's degree,10.0,13.13,24.61,brazil,77.24,89.94484514212982
"development worker, community",transportation,decreasing,low,70583.38,master's degree,3.0,8.34,5.03,china,45.03,-16.727585465491295
"editor, commissioning",retail,decreasing,moderate,75244.72,master's degree,2.0,7.58,10.7,canada,69.66,37.65880217785844
art gallery manager,finance,increasing,low,91739.49,high school,18.0,14.97,23.12,brazil,24.31,8.816037213423414
arts development officer,healthcare,decreasing,moderate,63191.1,bachelor's degree,2.0,43.27,42.89,usa,49.73,-9.919609532012633
radio producer,transportation,increasing,high,101903.13,associate degree,9.0,25.05,23.59,china,78.83,351.74981384959045
marine scientist,entertainment,decreasing,moderate,143270.55,phd,11.0,83.45,80.35,germany,79.73,-59.90352728369008
trading standards officer,it,decreasing,moderate,63806.21,associate degree,16.0,3.52,97.51,brazil,22.1,653.394495412844
sub,education,increasing,low,101598.39,phd,1.0,11.4,28.2,india,51.19,-70.5938242280285
"engineer, control and instrumentation",entertainment,decreasing,moderate,44505.55,associate degree,12.0,34.4,41.26,uk,21.77,14.728110599078342
television camera operator,it,decreasing,moderate,97190.55,master's degree,20.0,60.05,34.52,usa,35.19,-37.663366336633665
"psychologist, forensic",entertainment,decreasing,high,103827.12,associate degree,3.0,73.1,77.82,brazil,25.14,-96.03752623132947
trade mark attorney,manufacturing,increasing,high,110205.15,high school,4.0,82.07,6.11,china,21.0,0.24822695035460995
web designer,education,increasing,low,107619.12,associate degree,6.0,18.84,88.99,canada,38.55,11.482889733840304
television production assistant,transportation,increasing,high,52031.51,high school,5.0,12.09,70.18,brazil,68.18,-43.37150127226463
gaffer,manufacturing,decreasing,low,58105.58,bachelor's degree,15.0,91.57,41.48,usa,60.92,20.730565095223227
aid worker,education,increasing,moderate,76786.81,phd,17.0,93.34,29.84,china,21.23,2069.1449814126395
"surveyor, building",healthcare,increasing,moderate,59156.07,master's degree,20.0,9.69,31.87,india,24.18,107.86832597350462
armed forces training and education officer,manufacturing,decreasing,high,104470.79,associate degree,5.0,92.39,39.44,uk,58.47,-42.353927872518874
"scientist, research (life sciences)",healthcare,decreasing,low,119453.15,high school,18.0,34.64,46.47,usa,22.24,494.72010178117046
"engineer, materials",education,increasing,high,61172.82,bachelor's degree,5.0,76.79,23.12,brazil,28.79,-56.203855619360134
recruitment consultant,retail,decreasing,moderate,96000.12,master's degree,13.0,97.16,19.83,australia,60.32,-58.17091454272864
oncologist,entertainment,increasing,moderate,44060.3,phd,9.0,67.86,95.58,australia,72.89,-63.356660231660236
"engineer, communications",education,decreasing,high,62992.33,high school,4.0,70.65,81.07,china,67.11,4.769791321629679
television floor manager,retail,decreasing,low,64432.21,high school,13.0,18.41,25.48,india,36.32,-44.25542110938061
ranger/warden,manufacturing,decreasing,high,51312.81,associate degree,3.0,95.56,11.42,brazil,20.64,-85.61526870919135
"clinical scientist, histocompatibility and immunogenetics",retail,increasing,moderate,33476.01,bachelor's degree,14.0,66.3,50.55,germany,69.36,22.70807453416149
broadcast engineer,education,decreasing,low,141945.31,master's degree,18.0,12.1,69.2,canada,75.41,57.24711473183979
forensic psychologist,education,decreasing,moderate,34976.33,associate degree,14.0,50.88,51.98,uk,23.82,44.7566482689413
television/film/video producer,manufacturing,decreasing,low,124700.31,master's degree,8.0,19.65,73.05,uk,49.82,-43.62918018907859
"conservator, museum/gallery",manufacturing,increasing,moderate,62338.04,high school,15.0,99.87,71.95,germany,74.94,-66.1377915025024
"engineer, biomedical",retail,decreasing,high,122638.13,high school,20.0,80.14,31.32,uk,56.58,31.03799185888738
trading standards officer,retail,decreasing,high,79118.12,high school,15.0,10.34,82.68,india,58.38,94.74633015709503
geochemist,retail,increasing,high,112857.68,associate degree,18.0,3.82,44.98,china,64.69,-54.25874769797422
data scientist,finance,increasing,moderate,45319.41,master's degree,5.0,16.05,91.13,germany,22.49,-15.739948674080411
land,manufacturing,increasing,high,145556.35,phd,12.0,16.32,56.18,china,61.03,-56.00057836899942
psychotherapist,healthcare,decreasing,low,128930.23,associate degree,3.0,3.22,83.7,china,26.28,19.238845144356954
"exhibitions officer, museum/gallery",it,decreasing,high,77510.04,master's degree,7.0,77.73,92.69,china,31.16,-70.07614501647915
civil service administrator,it,decreasing,moderate,42847.4,master's degree,16.0,37.72,25.09,canada,72.6,-19.474835886214443
database administrator,entertainment,increasing,high,126619.61,master's degree,0.0,2.75,35.41,uk,60.42,164.3458731049972
"engineer, broadcasting (operations)",entertainment,increasing,low,110375.98,phd,16.0,77.13,16.59,uk,45.58,-21.40729709605361
community arts worker,retail,increasing,low,131896.18,associate degree,10.0,95.54,64.35,usa,36.28,-88.78109195995458
sports coach,healthcare,increasing,low,39812.53,bachelor's degree,0.0,89.23,88.1,brazil,48.35,140.9819639278557
media buyer,finance,increasing,low,59470.91,bachelor's degree,4.0,18.64,12.1,germany,51.41,102.37082066869301
"designer, exhibition/display",finance,increasing,moderate,136979.93,associate degree,6.0,38.29,83.6,china,59.69,-45.6596822472945
"psychologist, educational",finance,increasing,low,76483.42,master's degree,18.0,6.01,14.13,china,66.03,-41.99018920812894
marine scientist,healthcare,increasing,low,90454.22,bachelor's degree,2.0,18.18,81.18,germany,44.94,-59.99158603281447
jewellery designer,entertainment,increasing,moderate,141496.3,phd,2.0,83.67,72.97,uk,77.42,30.67419696434875
information systems manager,transportation,decreasing,moderate,79413.6,phd,5.0,88.77,16.52,germany,67.39,-82.40997229916897
clinical research associate,it,decreasing,high,71822.65,phd,7.0,24.61,96.16,germany,64.67,33.174413984902664
exercise physiologist,healthcare,decreasing,high,75076.68,associate degree,19.0,87.14,64.28,india,27.35,2804.026845637584
chartered certified accountant,manufacturing,increasing,low,76846.07,associate degree,8.0,55.01,57.86,uk,41.05,276.83095347766005
television floor manager,entertainment,decreasing,low,127497.06,master's degree,15.0,33.8,81.66,australia,48.93,-78.50428674723685
medical technical officer,healthcare,increasing,low,33256.31,phd,19.0,24.69,96.84,india,71.96,159.65327029156816
child psychotherapist,finance,increasing,high,111605.75,bachelor's degree,5.0,95.06,83.48,brazil,28.44,-47.38585285072155
"lighting technician, broadcasting/film/video",manufacturing,increasing,moderate,146070.03,bachelor's degree,9.0,55.84,13.34,usa,41.62,157.53860127157128
television floor manager,manufacturing,decreasing,moderate,92944.19,master's degree,0.0,38.38,15.21,india,30.17,-76.12792689891491
retail merchandiser,manufacturing,increasing,low,91850.51,bachelor's degree,2.0,36.35,31.73,brazil,28.36,134.79243151652076
print production planner,healthcare,increasing,moderate,48235.26,bachelor's degree,13.0,65.67,32.61,usa,74.32,156.0412026726058
commercial horticulturist,finance,decreasing,high,81414.11,bachelor's degree,4.0,20.82,41.46,china,77.35,-84.42118226600985
cytogeneticist,entertainment,decreasing,low,144125.84,phd,10.0,86.71,32.57,australia,44.42,-69.58997722095673
equality and diversity officer,entertainment,increasing,high,131933.14,master's degree,13.0,73.35,96.59,germany,23.84,252.33470302577513
furniture designer,retail,increasing,moderate,137611.03,phd,4.0,34.27,27.71,uk,76.01,12.917115177610333
furniture designer,education,increasing,moderate,86801.76,phd,5.0,0.68,10.85,australia,29.52,590.2564102564103
"engineer, production",education,decreasing,low,67070.47,phd,6.0,64.74,94.29,brazil,34.3,-50.49088359046283
"conservator, museum/gallery",healthcare,decreasing,moderate,32196.66,bachelor's degree,12.0,81.58,99.97,uk,26.77,74.33025911286781
"geneticist, molecular",manufacturing,decreasing,moderate,103485.02,phd,1.0,7.28,37.01,usa,20.72,2.7472527472527473
financial adviser,education,increasing,high,106804.85,phd,3.0,30.79,31.25,india,66.43,-72.87424410712082
surgeon,finance,increasing,moderate,112087.39,master's degree,14.0,55.99,94.99,canada,28.62,1081.4960629921259
audiological scientist,entertainment,decreasing,high,84055.94,associate degree,18.0,75.91,82.21,canada,66.79,58.172068081137795
writer,education,decreasing,high,60226.64,master's degree,11.0,92.89,77.94,usa,35.21,-48.115790846264176
"psychologist, clinical",it,increasing,low,122965.46,associate degree,16.0,37.94,24.68,usa,27.37,-5.5648836651475175
museum/gallery exhibitions officer,finance,decreasing,moderate,50971.64,master's degree,18.0,72.49,52.32,germany,41.5,214.09942950285247
"psychologist, clinical",it,increasing,low,64162.82,phd,8.0,85.55,24.0,india,35.55,-87.54868022501083
english as a second language teacher,finance,decreasing,low,116979.07,bachelor's degree,4.0,5.87,89.5,germany,24.17,-79.95128349259883
nutritional therapist,transportation,increasing,high,149757.96,bachelor's degree,9.0,69.99,61.96,india,27.96,-52.544975866608155
herpetologist,retail,increasing,low,147004.68,associate degree,1.0,48.12,17.99,china,58.66,-93.1531211097279
physiotherapist,education,decreasing,high,115575.02,master's degree,15.0,78.1,5.3,india,69.89,-66.62927078021418
systems developer,retail,increasing,low,66083.37,high school,15.0,86.92,71.37,uk,55.63,362.76505513146736
armed forces technical officer,manufacturing,increasing,high,134940.17,phd,1.0,94.81,98.32,uk,20.89,28.04626187525816
"research officer, government",finance,increasing,moderate,145116.99,bachelor's degree,14.0,75.44,61.71,china,36.42,-74.9544626593807
television production assistant,retail,increasing,low,88199.07,master's degree,16.0,18.67,5.19,china,23.33,136.17256637168143
geographical information systems officer,entertainment,decreasing,high,36943.92,bachelor's degree,11.0,20.21,60.96,china,68.32,64.36394271272114
animal technologist,entertainment,increasing,low,111228.21,master's degree,12.0,45.93,53.94,germany,36.37,-37.92542813787123
osteopath,entertainment,increasing,high,35008.27,bachelor's degree,4.0,98.44,93.05,china,62.08,-70.68827531012406
aeronautical engineer,finance,increasing,moderate,36784.5,high school,14.0,81.69,75.58,canada,37.04,-18.956438487314507
town planner,retail,increasing,high,45716.68,phd,4.0,29.84,18.56,india,35.62,-48.778296802012214
mental health nurse,finance,increasing,high,134679.6,associate degree,2.0,14.85,92.72,usa,65.93,2.6761819803746656
"designer, textile",transportation,decreasing,low,33880.3,master's degree,7.0,59.11,95.77,china,71.53,11.496718828874306
"pharmacist, community",retail,increasing,high,137450.75,master's degree,12.0,7.73,51.52,uk,58.77,0.13084112149532712
colour technologist,retail,decreasing,high,131052.62,associate degree,17.0,0.18,5.23,australia,56.58,68.1151832460733
"physicist, medical",education,increasing,moderate,56114.6,bachelor's degree,20.0,52.42,14.29,uk,61.84,108.90928725701944
theatre manager,entertainment,increasing,high,91977.75,phd,3.0,33.76,25.2,china,54.17,25.573702708290263
"psychologist, sport and exercise",healthcare,decreasing,moderate,71094.19,master's degree,4.0,57.97,74.71,china,71.82,598.841059602649
information officer,education,decreasing,high,118796.43,high school,20.0,10.01,60.19,usa,41.79,92.64516129032258
environmental education officer,finance,decreasing,high,125352.75,associate degree,8.0,32.45,43.38,uk,51.57,110.93964334705075
"engineer, petroleum",education,increasing,low,110202.84,phd,6.0,75.88,34.56,canada,42.75,-93.87335995436395
publishing copy,education,decreasing,low,31976.85,master's degree,0.0,73.68,9.83,australia,68.28,-84.84203450593772
planning and development surveyor,retail,decreasing,low,53817.35,phd,8.0,93.24,87.07,usa,68.9,-97.64225086450801
tree surgeon,manufacturing,increasing,low,73599.68,master's degree,1.0,42.37,96.5,brazil,38.01,-37.672759696834596
"nurse, adult",entertainment,decreasing,high,70711.87,associate degree,2.0,46.27,71.3,brazil,68.21,119.28994082840237
"surveyor, mining",education,decreasing,moderate,106514.25,associate degree,6.0,23.46,18.92,germany,50.19,-68.84422110552764
prison officer,education,decreasing,moderate,51300.73,bachelor's degree,4.0,6.11,57.41,china,62.16,-83.02523474178403
oncologist,entertainment,increasing,high,68003.08,associate degree,7.0,97.01,96.74,china,67.96,92.42424242424242
arts administrator,it,increasing,low,41470.62,high school,7.0,19.66,84.24,china,20.19,13.824117255163223
electrical engineer,manufacturing,decreasing,low,83074.87,high school,18.0,1.06,97.6,australia,69.06,2676.9491525423728
"surveyor, hydrographic",entertainment,decreasing,low,78856.39,phd,0.0,88.54,99.85,china,75.77,371.0989678202793
"scientist, audiological",education,increasing,moderate,120701.32,associate degree,2.0,7.76,39.1,china,29.62,-11.334405144694534
emergency planning/management officer,retail,decreasing,low,52122.91,bachelor's degree,7.0,72.45,12.31,australia,58.93,-7.179127998599194
recruitment consultant,retail,decreasing,low,97495.41,phd,15.0,93.58,77.72,germany,71.89,129.18367346938774
contractor,finance,increasing,low,89802.15,associate degree,20.0,4.85,34.25,australia,45.23,22.58949389658483
"designer, graphic",transportation,decreasing,high,121080.79,bachelor's degree,16.0,84.54,55.03,germany,38.65,19.083526682134572
environmental education officer,it,decreasing,moderate,32846.73,phd,8.0,18.24,35.62,uk,67.18,30.964559736938252
medical sales representative,it,decreasing,low,67343.42,bachelor's degree,0.0,80.01,39.54,usa,36.22,-7.929036929761042
volunteer coordinator,it,increasing,high,99911.06,phd,0.0,52.1,88.27,germany,41.1,833.4635416666666
electronics engineer,education,decreasing,high,54194.76,bachelor's degree,11.0,73.39,38.23,india,22.46,122.72180812695359
"scientist, forensic",education,increasing,high,60502.22,associate degree,18.0,77.28,38.53,australia,75.46,-16.27941176470588
probation officer,healthcare,increasing,moderate,111409.69,associate degree,2.0,73.28,15.18,canada,21.91,29.208754208754208
"designer, multimedia",finance,increasing,low,36480.96,phd,1.0,42.57,23.04,china,62.43,-39.76470588235294
international aid/development worker,retail,decreasing,moderate,127281.15,associate degree,0.0,88.42,64.08,usa,41.16,71.53718222855785
town planner,retail,increasing,moderate,68268.78,phd,10.0,89.12,7.23,australia,46.2,177.7840428531153
tourism officer,entertainment,increasing,high,51150.22,phd,12.0,92.95,14.66,germany,68.26,3.4461837155684987
pension scheme manager,finance,increasing,moderate,78385.3,high school,17.0,1.78,96.4,china,25.49,-68.600812595226
oncologist,finance,decreasing,low,50854.31,associate degree,11.0,7.02,62.65,germany,54.97,-82.2635731951478
heritage manager,finance,decreasing,low,62153.68,phd,19.0,88.8,40.97,brazil,65.45,501.6393442622951
"therapist, speech and language",manufacturing,decreasing,moderate,98735.27,high school,13.0,85.67,49.97,usa,63.09,-43.03258754863813
"scientist, physiological",transportation,decreasing,low,132696.72,phd,14.0,32.06,68.68,canada,69.16,-6.286342920006287
materials engineer,transportation,increasing,high,108163.24,high school,16.0,34.21,32.77,uk,32.24,369.0082644628099
hydrographic surveyor,manufacturing,increasing,moderate,99245.45,master's degree,11.0,30.93,17.11,canada,32.17,38.07863915225879
soil scientist,finance,increasing,moderate,54250.95,high school,3.0,34.96,9.38,germany,24.04,79.34498693992364
fisheries officer,entertainment,increasing,moderate,69365.54,high school,9.0,9.24,2.21,china,38.65,148.77611940298507
"geologist, engineering",finance,increasing,low,120066.94,high school,4.0,44.94,64.93,canada,42.65,-93.67557290103072
"horticulturist, amenity",retail,increasing,high,100215.14,associate degree,7.0,84.96,95.41,canada,42.86,-1.1991164405175134
"pharmacist, community",education,increasing,moderate,33073.32,phd,2.0,23.55,93.08,uk,29.19,706.1565523306948
exhibition designer,healthcare,increasing,moderate,47739.6,master's degree,17.0,47.14,63.64,uk,67.29,243.47164065473925
optometrist,retail,decreasing,low,120717.59,phd,13.0,77.96,35.06,germany,27.69,28.516718220651054
educational psychologist,it,increasing,low,65156.95,bachelor's degree,5.0,89.23,33.8,canada,34.31,72.03947368421053
ergonomist,healthcare,increasing,moderate,126634.05,bachelor's degree,17.0,28.75,50.15,brazil,26.63,-75.55212014134275
armed forces technical officer,entertainment,decreasing,low,134683.86,high school,1.0,26.35,69.61,brazil,50.77,-29.813401187446992
art gallery manager,manufacturing,increasing,moderate,109891.47,high school,19.0,17.46,92.94,uk,46.7,296.7065868263473
fine artist,manufacturing,increasing,moderate,81796.47,associate degree,14.0,13.79,89.22,usa,40.18,224.0348692403487
"embryologist, clinical",finance,increasing,moderate,38306.95,phd,0.0,34.77,4.4,canada,77.17,53.07486631016043
"scientist, audiological",education,increasing,low,135569.25,associate degree,12.0,34.22,84.54,india,38.5,-64.96372430471584
"psychologist, counselling",it,decreasing,low,135405.99,master's degree,13.0,29.1,93.7,china,56.18,97.59185700099306
associate professor,transportation,increasing,low,53301.69,phd,3.0,22.37,72.29,canada,59.54,212.7569331158238
information officer,education,decreasing,high,130401.41,associate degree,3.0,12.58,71.46,china,72.05,-2.6285714285714286
